CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	260760	26.075992464038183
GH51	162611	16.26109530054346
CBM48	89756.3	8.97562740604368
GH77	75143.5	7.514347828353478
GT35	58412.4	5.841238311882129
CBM6	45951.5	4.5951486720020345
GH43	45951.5	4.5951486720020345
GH31	43957.8	4.395778729619948
GT28	35953.6	3.5953589609412604
GH2	35943.3	3.594328961238931
GH42	26359.4	2.6359392382135605
CBM13	24338.1	2.4338092966291134
GH30	24338.1	2.4338092966291134
GH101	20373.3	2.0373294112118003
GT2	17672.2	1.767219489273568
GH112	15412.8	1.5412795545702087
GH32	14759.6	1.4759595734476836
GT5	1611.2	0.16111995343633348
GH23	694.689	0.06946887992349371
