CAZy ID	Copies per Million (CPM)	Relative Abundance
GH43	170859	17.085892499293195
GH13	151050	15.104993368907916
GH2	88430.7	8.843066117893976
GH3	87007	8.700696180394377
GH31	84104.2	8.410416307827242
GH5	54578.2	5.457817604018072
GT51	45610.7	4.56106799769115
GH42	45502.9	4.550288002423568
CBM48	37558.3	3.7558283511913553
GH53	35465.7	3.546568443056454
GH25	31914.5	3.1914485989540657
CBM46	30187.1	3.0187086747868923
GT2	25194.1	2.519408893979496
GH121	22812.7	2.2812689985229104
GH30	21002.5	2.100249077990655
GH36	16766.1	1.6766092639685333
GT28	13552.2	1.3552194050586817
GT4	9647.85	0.9647845764595712
CBM32	7016.51	0.7016506919753464
GH1	6727.14	0.6727137046786839
GH77	4031.86	0.4031858230014238
GH68	1935.48	0.19354791503246535
GT91	1656.52	0.16565192727880396
GT15	1118.25	0.11182495090884659
GH47	669.916	0.06699157059070053
CBM43	662.359	0.06623587092245269
GH72	662.359	0.06623587092245269
GT62	500.296	0.05002957803701525
GH16	430.412	0.04304118110492151
GT39	426.497	0.04264968127678993
GT1	405.57	0.04055698219548483
GH18	370.618	0.03706178372987695
GH37	340.049	0.03400488507185546
GT20	310.878	0.031087786352461795
GT66	302.545	0.03025448671828034
GH132	276.958	0.02769578784154915
GT71	258.814	0.025881388638070397
GT76	252.488	0.025248788915781674
GH20	233.76	0.02337598973794051
GH81	167.41	0.01674099265070423
