CAZy ID	Copies per Million (CPM)	Relative Abundance
GT8	172350	17.234988624907505
GH13	142667	14.266690583984213
GT2	108747	10.874692822702734
GH25	99768.9	9.976883415256944
GH65	94004	9.400393795740094
GH32	84518.7	8.45186442176948
GT26	73694.4	7.369435136172808
GH36	68672.3	6.867225467631191
GT51	60233.3	6.023326024604823
GH4	36518	3.65179758981359
GH1	14305.4	1.430539055844223
GT4	12965.9	1.2965891442511646
GT28	11795.8	1.1795792214777137
CBM34	6980.42	0.698041539292584
GT20	5774.97	0.5774966188522315
GT85	4080.55	0.4080547306838777
GH24	2924.02	0.29240180701480734
