CAZy ID	Copies per Million (CPM)	Relative Abundance
GT8	166813	16.681303486392427
GH13	149224	14.92240311878225
GT2	140699	14.069902940609714
GH25	121070	12.107002530363529
GH65	105188	10.518802198429658
GT26	94511.9	9.451191975299121
GH32	83603.8	8.360381747319785
GT51	62882.4	6.288241314242435
GH4	38269.4	3.826940799830627
GT28	12766.9	1.2766902668282656
GT4	9607.86	0.960786200804316
CBM34	7345.14	0.7345141535134581
GH1	5414.73	0.5414731131678806
GH3	899.585	0.08995851880133043
CBM61	852.038	0.08520381780759792
GH53	852.038	0.08520381780759792
