Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	219753.84	49.913999999999994	0.884422	0.925325	24023
Staphylococcus lentus GENE repC		-	48342.81	10.979999999999999	1	1	11172
Staphylococcus aureus GI 33390920		-	40938.92	9.299	1	1	3937
Staphylococcus aureus GENE dfrA		-	38643.59	8.777	0.815451	0.815451	5377
Staphylococcus lentus GENE pre		-	26124.07	5.933999999999999	1	1	6444
Staphylococcus aureus GENE thyA		-	23780.78	5.401	0.96374	0.96374	6154
Staphylococcus epidermidis GeneID SEA1545		-	19797.91	4.497	1	1	2388
Staphylococcus lentus GENE tetK		-	14301.62	3.248	0.998496	0.998496	3784
Staphylococcus aureus GENE blaZ		-	4389.51	0.997	0.568035	0.568035	630
Staphylococcus lentus GI 60416745		-	4195.02	0.9530000000000001	1	1	35
