Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE repC		-	49933.54	24.552	1	1	11549
Staphylococcus lentus GENE tetK		-	49091.64	24.138	1	1	16591
Staphylococcus lentus GENE pre		-	34707.27	17.066	1	1	8853
Staphylococcus lentus GI 60416745		-	21321.81	10.484	1	1	249
Staphylococcus aureus GENE qacC		-	18087.66	8.894	1	1	1523
Staphylococcus aureus GI 33390919		-	12039.14	5.92	0.753769	0.840909	1228
Staphylococcus lentus GENE repL		-	3936.35	1.9349999999999998	0.49537	0.49537	374
Staphylococcus lentus GENE ermC		-	3854.2	1.8950000000000002	0.654655	0.654655	264
Staphylococcus aureus GENE blaI		-	3741.09	1.839	0.587302	0.587302	243
Staphylococcus aureus GI 33390920		-	3715.17	1.8270000000000002	0.745223	0.745223	117
Staphylococcus aureus GI 33390947		-	1941.42	0.955	0.516129	0.516129	31
Staphylococcus lentus GI 60416748		-	1007.45	0.49500000000000005	0.5	0.5	6
