Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE repC		-	1193005.32	37.808	1	1	232473
Staphylococcus lentus GENE tetK		-	1011958.27	32.07	1	1	297110
Staphylococcus lentus GI 60416745		-	518362.08	16.428	1	1	4388
Staphylococcus aureus GI 33390919		-	238861.13	7.57	0.834171	0.892857	25158
Staphylococcus lentus GENE pre		-	99741.86	3.161	1	1	25821
Staphylococcus aureus GI 33390920		-	29323.59	0.9289999999999999	0.917197	0.917197	2835
Staphylococcus aureus GENE thyA		-	20067.37	0.636	0.96374	0.96374	5016
Staphylococcus aureus GENE dfrA		-	16551.13	0.525	0.729614	0.729614	2244
Staphylococcus epidermidis GeneID SEA1545		-	12427.15	0.394	0.972973	0.972973	1324
Staphylococcus aureus GI 33390947		-	7708.57	0.244	0.612903	0.612903	205
Staphylococcus aureus GENE blaZ		-	3801.47	0.12	0.483801	0.483801	591
Staphylococcus aureus GENE blaI		-	3630.75	0.11499999999999999	0.634921	0.634921	190
