CAZy ID	Copies per Million (CPM)	Relative Abundance
GT2	277681	27.768090003487593
GT25	99322.9	9.932286424376887
GH32	61080.9	6.1080878010883914
GH13	59368.7	5.936867862727569
GH31	49810.2	4.981018206833445
GH23	45418	4.541798364952588
GH73	37449.3	3.7449286518256852
GT51	30491.4	3.049138902309995
GT9	24823	2.4822991063723214
GT20	22850.9	2.285089177367896
GT4	22153	2.215299202492287
GT56	21395.8	2.139579229751477
GH1	18097.5	1.8097493484902343
GH4	17207.5	1.7207493805302227
GT26	15141.4	1.514139454909796
GH24	14840.3	1.484029465749392
GT5	14742.5	1.474249469270191
GH2	14708	1.4707994705121903
CBM50	12634.4	1.2634395451617635
CBM48	12237.4	1.2237395594537583
GT28	12139.3	1.2139295629853573
GH104	10868.6	1.0868596087305407
GH8	9721.86	0.9721856500131659
GH3	8879.04	0.8879036803546749
GH103	8859.1	0.8859096810725147
CBM34	8424.42	0.8424416967209891
GH25	8118.05	0.8118047077503051
GH77	8060.6	0.8060597098185044
GT83	7998.85	0.7998847120415036
GT35	7951.32	0.7951317137525828
AA6	7736.4	0.7736397214897001
GH37	7520.35	0.7520347292674974
GH63	6275.9	0.6275897740676812
GH18	6202.54	0.6202537767086403
CBM5	4840.19	0.4840188257532226
GH65	3434.49	0.34344887635840443
GT19	1515.25	0.1515249454510196
