CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	144254	14.425401687771997
GT2	101383	10.138301186181238
GH3	56146.6	5.614660656915296
GH53	48689.5	4.868950569667216
GH5	46202.3	4.620230540566974
GT4	44117.7	4.41177051617715
CBM48	43657.5	4.365750510792809
CBM61	41247.9	4.124790482600487
GH43	40242.7	4.024270470839645
GH29	37054.8	3.705480433541211
GH2	32407.2	3.2407203791642845
GH31	29568.4	2.9568403459503205
GH42	29233.3	2.92333034202965
GT51	26600.2	2.6600203112223766
GH32	23492.3	2.3492302748599423
GH4	17557.5	1.755750205422774
GT5	16764	1.676400196138823
GH23	15880.9	1.5880901858065517
GH1	15806.9	1.5806901849407515
GH73	15632.8	1.5632801829037812
GH38	13902.4	1.390240162658099
GH77	13744.1	1.3744101608059889
GT35	13060.9	1.306090152812548
GT9	12522.3	1.252230146510927
GH25	11378.3	1.1378301331261256
GT28	10141.9	1.0141901186602438
GT20	9020.38	0.9020381055384583
GT14	7471.97	0.7471970874220593
CBM46	7447.96	0.7447960871411422
AA3	5937.13	0.5937130694644291
GT26	5470.2	0.5470200640013474
GH127	5308.03	0.5308030621039582
GH8	5137.91	0.513791060113554
GT56	4884.41	0.4884410571476036
GH30	4821.46	0.4821460564110886
CBM50	4794.09	0.47940905609085954
GH103	4756.61	0.47566105565234346
CBM34	4552.27	0.45522705326156526
GH36	4503.44	0.45034405269025407
GH37	4111.79	0.4111790481079486
GH112	3405.34	0.34053403984248265
GH63	3365.47	0.33654703937600355
AA6	3326.01	0.3326010389143216
GT83	3246.57	0.32465703798487344
GH24	2982.54	0.2982540348957221
GH84	1559.52	0.15595201824638613
GH65	1116.35	0.11163501306129653
GT8	799.292	0.07992920935171749
GT19	587.437	0.0587437068730137
GH104	480.806	0.04808060562543086
CBM40	111.749	0.011174901307463452
GH33	111.749	0.011174901307463452
