Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	30107.97	35.717	0.919598	0.948052	3558
Staphylococcus aureus GENE 1600 Branch		-	8610.23	10.213999999999999	0.484211	0.484211	156
Staphylococcus aureus GI 33390920		-	8327.46	9.879	1	1	526
Staphylococcus aureus GENE thyA		-	6739.45	7.994999999999999	0.849237	0.849237	929
Staphylococcus aureus GI 33390939		-	6294.64	7.467	0.857143	0.857143	161
Staphylococcus aureus GENE AACA-APHD		-	5520.6	6.549	0.751761	0.751761	736
Staphylococcus aureus GI 33390945		-	5092.71	6.0409999999999995	1	1	107
Staphylococcus aureus GENE dfrA		-	4739.45	5.622	0.579399	0.579399	460
Staphylococcus epidermidis GeneID SEA1545		-	3846.99	4.564	0.648649	0.648649	229
Staphylococcus aureus GI 33390966		-	2577.1	3.057	0.449153	0.449153	215
Staphylococcus lentus GENE ermC		-	2440.12	2.895	0.417417	0.417417	216
