CAZy ID	Copies per Million (CPM)	Relative Abundance
GT28	243999	24.399907563971343
GT51	127589	12.758903955260227
GT2	127355	12.735503948006224
GH25	64784.8	6.478482008329422
CBM50	59290.3	5.92903183799987
GT5	52074.9	5.2074916143224
GH68	35585.9	3.558591103163242
GH1	34547.6	3.4547610709759313
GH3	30426.8	3.042680943231092
GH13	27957.7	2.7957708666889687
GH31	25925.4	2.5925408036876494
CBM48	25825.3	2.5825308005845478
GH23	25058	2.5058007767982406
CBM32	24509.7	2.450970759800936
GH2	17363	1.7363005382531667
GH73	15609.8	1.5609804839039498
GT26	14894.7	1.4894704617358432
GT38	11756.8	1.1756803644609128
AA3	11031.9	1.103190341989006
GT4	10220.7	1.0220703168417982
GT8	9651.23	0.9651232991882227
GH4	2409.8	0.24098007470382318
CBM34	2132.36	0.2132360661031805
