CAZy ID	Copies per Million (CPM)	Relative Abundance
GT4	128761	12.876094205757607
GT2	115474	11.547394803672338
GH23	77170.9	7.7170865273110625
GH13	74931.8	7.493176628070517
GT38	52637.2	5.263717631327065
GH73	49747.7	4.9747677613545065
GH1	37988	3.798798290540769
GT51	37500.2	3.750018312491759
GT9	35348.5	3.5348484093182155
GT20	32868.6	3.286858520913665
GT56	30075.1	3.0075086466211087
GH24	24304.9	2.430488906279992
GH4	22255.9	2.225588998484951
GH104	21605.3	2.160529027761937
GT5	20174.5	2.0174490921479085
GH2	18401.4	1.8401391719373728
GT28	18120.3	1.8120291845868668
GT26	16082.3	1.6082292762968255
AA3	15125.2	1.5125193193663062
GH25	14471.6	1.447159348778293
CBM48	14396.2	1.4396193521712917
CBM50	14079	1.407899366445285
GH103	12574.4	1.2574394341522546
GT35	11224.4	1.1224394949022272
AA6	11188.8	1.1188794965042266
GH8	10836.8	1.0836795123442193
CBM34	10816.9	1.0816895132397188
GH3	10288.6	1.0288595370132083
GT83	9977.31	0.9977305510212519
GH77	9244.9	0.9244895839796871
GH63	8971.86	0.8971855962664816
GH37	8481	0.8480996183551717
GH31	7516.82	0.7516816617432521
GH18	7216.48	0.721647675258546
CBM5	5833.76	0.5833757374809181
GH65	4308.82	0.4308818061031872
