ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-5686	UMP biosynthesis I	28500.4	2.850039885998405
PWY-7790	UMP biosynthesis II	28500.4	2.850039885998405
PWY-7791	UMP biosynthesis III	28500.4	2.850039885998405
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	23788.9	2.3788899048444043
PWY-5100	pyruvate fermentation to acetate and lactate II	23788.9	2.3788899048444043
PWY-6527	stachyose degradation	22902.7	2.2902699083892037
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	22680.6	2.2680599092776035
THRESYN-PWY	superpathway of L-threonine biosynthesis	22046.1	2.2046099118156035
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	21572.2	2.1572199137112036
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	21000.2	2.1000199159992037
PWY-2942	L-lysine biosynthesis III	20888.3	2.0888299164468034
PWY-5097	L-lysine biosynthesis VI	20734.8	2.073479917060803
PWY-2941	L-lysine biosynthesis II	20441.7	2.0441699182332034
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	20426.7	2.0426699182932033
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	20426.7	2.0426699182932033
PWY-6151	S-adenosyl-L-methionine salvage I	20422.5	2.0422499183100036
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	19557.6	1.955759921769603
TRNA-CHARGING-PWY	tRNA charging	19529.3	1.9529299218828031
PWY-3841	folate transformations II (plants)	17750.7	1.7750699289972032
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	16564.2	1.6564199337432028
PWY-1042	glycolysis IV	15986.3	1.5986299360548024
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	15863.4	1.5863399365464028
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	15684.4	1.5684399372624027
P161-PWY	acetylene degradation (anaerobic)	15614.1	1.5614099375436028
PWY0-1477	ethanolamine utilization	15614.1	1.5614099375436028
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	14547.6	1.4547599418096024
PWY-6609	adenine and adenosine salvage III	14482.7	1.4482699420692025
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	14366.6	1.4366599425336024
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	13921.2	1.3921199443152024
PWY-5484	glycolysis II (from fructose 6-phosphate)	13813.4	1.3813399447464023
PWY-6317	D-galactose degradation I (Leloir pathway)	13666.4	1.3666399453344023
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	13128.5	1.3128499474860023
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	12319.9	1.231989950720402
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	11970.9	1.197089952116402
ANAEROFRUCAT-PWY	homolactic fermentation	11379.3	1.1379299544828019
PWY-7221	guanosine ribonucleotides de novo biosynthesis	10282.6	1.0282599588696018
PWY-5695	inosine 5'-phosphate degradation	9953.46	0.9953459601861616
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	9683.3	0.9683299612668016
GLUCONEO-PWY	gluconeogenesis I	9450.44	0.9450439621982417
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	9339.9	0.9339899626404016
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	9142.58	0.9142579634296816
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	9139.97	0.9139969634401215
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	8938.55	0.8938549642458015
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	8912.38	0.8912379643504813
1CMET2-PWY	folate transformations III (E. coli)	8842.2	0.8842199646312017
PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	8835.91	0.8835909646563614
PWY-7199	pyrimidine deoxyribonucleosides salvage	8824.09	0.8824089647036414
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	8663.93	0.8663929653442815
DAPLYSINESYN-PWY	L-lysine biosynthesis I	8347.33	0.8347329666106814
PWY-7208	superpathway of pyrimidine nucleobases salvage	8284.49	0.8284489668620413
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	8014.14	0.8014139679434413
PWY-7977	L-methionine biosynthesis IV	7856.2	0.7856199685752013
PWY-6936	seleno-amino acid biosynthesis (plants)	7633.23	0.7633229694670812
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	7477.66	0.7477659700893613
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	7145.99	0.7145989714160411
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	7145.99	0.7145989714160411
PWY-5913	partial TCA cycle (obligate autotrophs)	6675.91	0.6675909732963611
PWY66-399	gluconeogenesis III	6491.63	0.6491629740334811
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	6453.02	0.6453019741879211
PANTO-PWY	phosphopantothenate biosynthesis I	6373.5	0.6373499745060011
PWY-7345	superpathway of anaerobic sucrose degradation	6331.08	0.633107974675681
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	5988.56	0.598855976045761
PWY-6123	inosine-5'-phosphate biosynthesis I	5404.5	0.5404499783820009
PWY-6124	inosine-5'-phosphate biosynthesis II	5392.45	0.5392449784302009
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	5163.45	0.5163449793462008
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	5157.6	0.5157599793696008
PWY-7111	pyruvate fermentation to isobutanol (engineered)	4961.01	0.4961009801559608
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	4863.96	0.48639598054416083
VALSYN-PWY	L-valine biosynthesis	4834.65	0.4834649806614008
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	4813.93	0.48139298074428083
DTDPRHAMSYN-PWY	dTDP-β-L-rhamnose biosynthesis	4771.19	0.4771189809152408
PWY-6703	preQ0 biosynthesis	4676.16	0.4676159812953608
PWY-5103	L-isoleucine biosynthesis III	4619.02	0.4619019815239208
PWY-702	L-methionine biosynthesis II	4551.52	0.4551519817939208
HISTSYN-PWY	L-histidine biosynthesis	4483.62	0.44836198206552075
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	4472.61	0.4472609821095607
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	4014.02	0.40140198394392074
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	3804.4	0.38043998478240065
PWY-6700	queuosine biosynthesis I (de novo)	3770.21	0.37702098491916064
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	3756.38	0.37563798497448064
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	3376.61	0.3376609864935606
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	3290.1	0.3290099868396006
P441-PWY	superpathway of N-acetylneuraminate degradation	3080.38	0.3080379876784805
PWY1ZNC-1	assimilatory sulfate reduction IV	2980.5	0.2980499880780005
SO4ASSIM-PWY	assimilatory sulfate reduction I	2980.5	0.2980499880780005
