Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	110740.67	48.235	0.678392	0.792208	12636
Staphylococcus aureus GENE thyA		-	23254.83	10.129000000000001	0.96374	0.96374	5994
Staphylococcus aureus GENE dfrA		-	19745.51	8.6	0.729614	0.729614	2729
Staphylococcus aureus GI 33390920		-	17991.46	7.836	0.917197	0.917197	1657
Staphylococcus epidermidis GeneID SEA1545		-	11915.13	5.19	1	1	1222
Staphylococcus lentus GENE tetK		-	11878.93	5.174	0.957895	0.957895	2922
Staphylococcus aureus GI 33390940		-	10441.43	4.548	0.737589	0.737589	2042
Staphylococcus lentus GI 60416745		-	8144.2	3.547	1	1	90
Staphylococcus aureus GENE blaZ		-	5886.07	2.564	0.606911	0.606911	1041
Staphylococcus aureus GENE blaI		-	4299.26	1.873	0.497354	0.497354	396
Staphylococcus aureus GENE blaR1		-	3316.11	1.444	0.413214	0.413214	850
Staphylococcus aureus GENE qacC		-	1972.6	0.859	0.424658	0.424658	79
