Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	109950.58	19.261	0.668342	0.785714	13485
Staphylococcus lentus GENE ermC		-	57957.84	10.152999999999999	1	1	10715
Staphylococcus lentus GENE repL		-	57020.19	9.989	1	1	7226
Staphylococcus aureus GI 33390920		-	44871.13	7.861	1	1	4319
Staphylococcus epidermidis GeneID SEA1545		-	42719.61	7.484	1	1	5536
Staphylococcus aureus GENE thyA		-	37782.36	6.619	1	1	10227
Staphylococcus aureus GENE qacC		-	34220.16	5.995	1	1	3079
Staphylococcus aureus GENE dfrA		-	32165.31	5.635	0.815451	0.815451	4463
Staphylococcus lentus GENE repC		-	24134.19	4.228	0.990719	0.990719	5261
Staphylococcus lentus GENE tetK		-	17019.86	2.9819999999999998	0.990977	0.990977	4872
Staphylococcus lentus GENE pre		-	15756.74	2.76	0.985801	0.985801	3446
Staphylococcus lentus GI 60416748		-	13040.07	2.284	0.5	0.5	176
Staphylococcus aureus GENE blaZ		-	10151.18	1.778	0.680346	0.680346	2213
Staphylococcus aureus GENE 1602 Branch		-	9181.82	1.608	0.644444	0.407143	193
Staphylococcus aureus GENE blaI		-	6861.13	1.202	0.661376	0.661376	646
Staphylococcus aureus GENE cap 1491 Branch		-	5388.05	0.9440000000000001	0.45768	0.45768	428
Staphylococcus aureus GENE blaR1		-	5245.76	0.919	0.450168	0.450168	1855
Staphylococcus aureus GI 33390966		-	4730.38	0.8290000000000001	0.618644	0.618644	549
Staphylococcus aureus G 1466 Branch		-	4502.31	0.7889999999999999	0.614286	0.614286	43
Staphylococcus aureus GENE cap 1663 Branch		-	4432.12	0.776	0.616541	0.616541	188
Staphylococcus aureus GENE fnb 1642 Branch		-	4155.23	0.728	0.440367	0.440367	85
Staphylococcus aureus GeneID SASa0649		-	4072.78	0.713	0.536534	0.536534	596
Staphylococcus lentus GI 60416745		-	3861.54	0.676	1	1	30
Staphylococcus aureus GENE cap 1541 Branch		-	3832.74	0.6709999999999999	0.524272	0.524272	108
Staphylococcus aureus GeneID SAS1015		-	3365.7	0.59	0.589744	0.589744	168
Staphylococcus aureus GeneID SAS1730		-	3306.24	0.579	0.542453	0.542453	222
Staphylococcus aureus GI 33390965		-	3017.73	0.529	0.432392	0.432392	517
Staphylococcus aureus GENE esxA		-	2897.84	0.508	0.54717	0.54717	133
Staphylococcus aureus GeneID SAS0111		-	2654.13	0.46499999999999997	0.435013	0.435013	264
Staphylococcus aureus GeneID SAS0122		-	2547.18	0.44600000000000006	0.451477	0.451477	174
