Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	147735.43	52.147	0.839196	0.896104	14043
Staphylococcus aureus GI 33390920		-	41564.19	14.671000000000001	0.987261	0.987261	4006
Staphylococcus aureus GENE dfrA		-	33846.94	11.947000000000001	0.871245	0.871245	4650
Staphylococcus aureus GI 33390940		-	15968.6	5.6370000000000005	0.41844	0.41844	4060
Staphylococcus aureus GENE thyA		-	12576.41	4.439	0.984733	0.984733	2602
Staphylococcus lentus GENE repC		-	11849.93	4.183	0.853828	0.853828	2262
Staphylococcus epidermidis GeneID SEA1545		-	9122.98	3.2199999999999998	0.882883	0.882883	893
Staphylococcus aureus GI 33390945		-	5243.86	1.851	0.833333	0.833333	160
Staphylococcus aureus GENE qacC		-	2778.58	0.9809999999999999	0.506849	0.506849	137
Staphylococcus lentus GENE pre		-	2616.83	0.924	0.413793	0.413793	325
