CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	249984	24.998402499840253
GH1	129343	12.934301293430131
GT35	80334.6	8.033460803346081
GT2	64143.1	6.414310641431065
GH23	61072.1	6.1072106107210615
GT9	45380.2	4.538020453802045
CBM48	35174	3.5174003517400356
GH2	34656.1	3.465610346561035
AA6	32176.3	3.217630321763033
GH4	26015.9	2.6015902601590266
GT4	25760.1	2.5760102576010255
GH104	24215.5	2.421550242155025
GT51	19862.8	1.9862801986280199
GH3	19305.1	1.9305101930510196
GT20	16866.5	1.686650168665017
GH8	13737	1.373700137370014
GH103	12773.9	1.277390127739013
GT5	12773	1.277300127730013
AA3	12611.5	1.2611501261150126
GH73	11898.4	1.189840118984012
GH77	11204	1.1204001120400113
GT28	11000	1.1000001100000112
GH31	10584	1.0584001058400108
CBM34	10564.3	1.0564301056430105
GT83	10504.6	1.0504601050460107
GH63	9647.28	0.9647280964728099
GT56	8412.62	0.8412620841262085
