Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	144573.14	78.706	0.819095	0.883117	15704
Staphylococcus lentus GENE repC		-	8515.35	4.636	0.851508	0.851508	1333
Staphylococcus lentus GENE pre		-	8400.84	4.573	0.906694	0.906694	1323
Staphylococcus aureus GI 33390947		-	5079.48	2.765	0.419355	0.419355	149
Staphylococcus aureus GENE blaZ		-	3867.28	2.105	0.434125	0.434125	705
Staphylococcus lentus GENE tetK		-	3524.05	1.918	0.512782	0.512782	537
Staphylococcus lentus GENE repL		-	3279.14	1.7850000000000001	0.407407	0.407407	336
Enterococcus faecium GI 21886745		-	2850.9	1.552	1	0.581994	34
Burkholderia pseudomallei GENE 506 Branch		-	1324.96	0.721	1	1	3
Staphylococcus lentus GI 60416748		-	1265.28	0.6890000000000001	0.5	0.5	11
Staphylococcus lentus GI 60416745		-	1007.45	0.5479999999999999	0.5	0.5	6
