CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	230097	23.0096883709035
GH2	90601.4	9.060135421007558
CBM48	81525.3	8.152525879713421
GH3	75870.6	7.587056165501815
GH43	59500.7	5.950066992836142
GT2	58443.1	5.844307046287219
GH31	55312.7	5.5312672044975555
GH42	52281.1	5.228107357714542
GH5	36471.7	3.6471681567212135
GT28	32003.4	3.2003383825489817
GT4	29089.4	2.9089385298224673
GT51	28054.7	2.805468582116179
GH25	23721.6	2.3721588011109422
GH53	22016	2.2015988873119228
CBM46	20833	2.083298947100712
GH32	17290.6	1.7290591261335178
GH30	15755.5	1.5755492037174326
GH36	15013.2	1.5013192412332557
GT35	10693.6	1.0693594595457294
GT5	7074.42	0.707441642458994
GH77	6969.35	0.6969346477692292
GT8	5595.29	0.5595287172141863
GH1	5382.99	0.5382987279438229
GH65	4555.14	0.4555137697833408
GT26	3832.49	0.3832488063060533
GH73	2180.37	0.2180368898041559
GH4	2157.91	0.21579089093928372
GH23	1923.36	0.19233590279343474
CBM50	1639.94	0.16399391711747432
AA3	645.174	0.06451736739292252
GT20	592.192	0.059219170070631454
GT9	555.656	0.05556557191715995
GT56	373.805	0.03738048110790485
GH68	367.775	0.0367774814126609
GH112	291.412	0.029141185272044963
AA6	290.486	0.02904858531884498
GH103	252.22	0.025221987252807648
CBM34	165.648	0.016564791628154312
GT83	142.335	0.014233492806392736
GH63	140.832	0.014083192882354318
GH37	79.9786	0.0079978559578836
CBM5	74.6734	0.007467336226008273
GH18	74.6734	0.007467336226008273
GH24	67.785	0.006778496574147833
