Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	13657.41	22.776	0.693467	0.801948	1600
Staphylococcus lentus GENE pre		-	9659.58	16.109	0.880325	0.880325	1777
Staphylococcus lentus GENE tetK		-	8560.21	14.274999999999999	0.857143	0.857143	1825
Staphylococcus lentus GENE repC		-	8294.92	13.833	0.928074	0.928074	1138
Staphylococcus lentus GI 60416745		-	4262.33	7.1080000000000005	1	1	36
Staphylococcus lentus GENE repL		-	3918.85	6.535	0.648148	0.648148	239
Staphylococcus epidermidis GeneID SEA1545		-	3024.97	5.045	0.59009	0.59009	134
Staphylococcus aureus GENE qacC		-	2523.38	4.208	0.547945	0.547945	80
Staphylococcus aureus GI 33390920		-	2296.68	3.83	0.43949	0.43949	117
Bacteroides vulgatus GI 33413459		-	1961.92	3.272	0.484211	0.484211	46
Enterococcus hirae GENE ermB		-	1804.89	3.01	1	1	6
