CAZy ID	Copies per Million (CPM)	Relative Abundance
GH23	179608	17.96079676705658
GT4	123057	12.305697784974395
GT28	58224.8	5.822478951953787
GH13	57869.2	5.786918958354586
GT9	46663.3	4.666329160060751
GH4	45348.2	4.534819183732545
GT51	44773.1	4.477309194084344
GH73	44354.9	4.435489201611943
GT2	43314.3	4.33142922034274
GT8	29817.7	2.9817694632814957
GH8	27229.9	2.722989509861888
GH31	25824.9	2.582489535151883
GH2	21813.7	2.18136960735347
GT26	19888.3	1.9888296420106637
GT20	19170.9	1.9170896549238616
AA3	18811.3	1.8811296613966606
GT5	17044.9	1.704489693191855
GH1	16751.5	1.6751496984730538
GH32	15761.6	1.5761597162912504
GT56	14028.6	1.4028597474852451
GT35	13591.9	1.3591897553458436
CBM50	13162.5	1.3162497630750423
CBM48	11880.8	1.188079786145638
CBM34	11445.9	1.1445897939738368
GH24	11124	1.1123997997680357
GH77	9388.06	0.9388058310149501
GH63	8889.55	0.8889548399881285
GH103	8470.61	0.8470608475290473
GH104	8427.35	0.842734848307727
GT83	8223.65	0.8223648519743264
AA6	8080.5	0.8080498545510258
GH25	6781.36	0.6781358779355418
GH37	5954.15	0.5954148928253191
GH3	5223.75	0.5223749059725168
