CAZy ID	Copies per Million (CPM)	Relative Abundance
GT2	224301	22.430080934431206
GH23	144072	14.40718775389041
GT26	84700.1	8.47000280049762
CBM48	80342.3	8.034223170910305
GH13	80342.3	8.034223170910305
GT83	63575.6	6.357554596078593
GH4	45013.8	4.501376173830253
GH32	41732.5	4.173246452740515
AA3	33975.2	3.397517112110454
GT5	33466.1	3.3466071553839174
GT28	28199.4	2.8199376030530376
GT20	26117.9	2.6117877799803875
GH3	26040.1	2.6040077865933813
GT19	20087.6	2.0087582925554512
CBM41	18679.4	1.86793841225235
GH8	11575.5	1.1575490160833364
CBM50	10948.7	1.094869069361291
GH2	9344.08	0.9344072057538751
GH43	6400.09	0.6400084559928124
GH1	2986.2	0.29861974617321574
PL22	2902.82	0.29028175326050976
GT35	2559.29	0.2559287824605349
GH104	1398.85	0.13988488109785105
GT51	1240.02	0.12400189459838959
