CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	190315	19.031481006581956
GT8	149297	14.929685100174272
GT2	114056	11.405588617222563
GH25	86121.7	8.612161405062919
GT26	82132.2	8.213211803214621
GH32	76944.4	7.694432320956544
GH65	71699.3	7.169922844417003
GH36	64823.3	6.482323530641117
GT51	49554.2	4.955415054495775
GH4	35079.2	3.507916499099334
GH31	18176.1	1.8176081860270303
GT4	17508.5	1.750848252653444
GH1	15487.3	1.5487284543690025
GT28	14096	1.409598593220604
CBM34	9278.38	0.9278370740186002
GT1	2765.47	0.2765467240063694
GH77	1700.51	0.17005083028927137
GT35	966.438	0.09664370354958388
