CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	120610	12.061003859521236
GT2	86630.1	8.66301277216409
GH4	67849.6	6.784962171187896
GH23	62789	6.278902009248643
GH1	56878.6	5.687861820115782
GH73	42778.1	4.277811368899638
GT20	39393.9	3.9393912606052037
GT51	37662.6	3.7662612052035858
GT9	36783.9	3.678391177085177
GH2	33154.2	3.3154210609347396
GT8	26264.8	2.626480840473869
GT4	26229.7	2.622970839350669
GT26	24583.9	2.458390786685052
GT28	23870.4	2.3870407638530446
GH8	22420.2	2.24202071744663
AA3	21915.5	2.1915507012962245
GH24	21894.3	2.1894307006178244
GT5	20697.9	2.0697906623330122
CBM34	18881.1	1.8881106041953932
GT56	18691.5	1.8691505981281913
GH103	16373.8	1.6373805239617678
GT35	16236.2	1.6236205195585667
GH32	15799.1	1.5799105055713618
GH25	14665.8	1.46658046930575
GH104	13281.7	1.328170425014536
GH3	13093.2	1.3093204189825343
GH63	12907.7	1.2907704130465323
CBM50	12483.6	1.2483603994753278
GT83	12354.6	1.2354603953473267
CBM48	11080.2	1.1080203545665137
GH31	10890.5	1.0890503484961116
GH77	10664.9	1.0664903412769093
AA6	9469.24	0.9469243030157771
GH37	8617.19	0.8617192757501684
GH38	7459.9	0.7459902387168764
GH65	4642.75	0.4642751485680475
